,ch,freq,,,,
,110000000000000000000,39,,,,
,101000000000000000000,18,,,,
,100100000000000000000,19,,,,
,100010000000000000000,8,,,,
,100001000000000000000,9,,,,
,100000100000000000000,3,,,,
,100000001000000000000,2,,,,
,100000000100000000000,5,,,,
,011000000000000000000,44,,,,
,010100000000000000000,24,,,,
,010010000000000000000,16,,,,
,010001000000000000000,15,,,,
,010000100000000000000,16,,,,
,010000010000000000000,4,,,,
,010000001000000000000,6,,,,
,010000000100000000000,1,,,,
,010000000010000000000,1,,,,
,010000000000010000000,1,,,,
,001100000000000000000,32,,,,
,001100000000000000000,27,,,,
,001010000000000000000,10,,,,
,001001000000000000000,11,,,,
,001000100000000000000,10,,,,
,001000010000000000000,6,,,,
,001000001000000000000,3,,,,
,001000000100000000000,4,,,,
,001000000010000000000,1,,,,
,001000000001000000000,1,,,,
,000110000000000000000,42,,,,
,000101000000000000000,29,,,,
,000100100000000000000,24,,,,
,000100010000000000000,12,,,,
,000100001000000000000,10,,,,
,000100000100000000000,6,,,,
,000100000010000000000,4,,,,
,000100000001000000000,4,,,,
,000100000000100000000,4,,,,
,000100000000010000000,3,,,,
,000011000000000000000,38,,,,
,000010100000000000000,31,,,,
,000010010000000000000,15,,,,
,000010001000000000000,14,,,,
,000010000100000000000,11,,,,
,000010000010000000000,4,,,,
,000010000010000000000,6,,,,
,000010000001000000000,5,,,,
,000010000000100000000,1,,,,
,000001100000000000000,62,,,,
,000001010000000000000,29,,,,
,000001001000000000000,18,,,,
,000001000100000000000,20,,,,
,000001000010000000000,15,,,,
,000001000001000000000,12,,,,
,000001000000100000000,8,,,,
,000001000000010000000,4,,,,
,000001000000001000000,2,,,,
,000001000000000100000,2,,,,
,000000110000000000000,47,,,,
,000000101000000000000,25,,,,
,000000100100000000000,21,,,,
,000000100010000000000,20,,,,
,000000100001000000000,18,,,,
,000000100000100000000,7,,,,
,000000100000010000000,3,,,,
,000000100000001000000,3,,,,
,000000100000000010000,2,,,,
,000000011000000000000,32,,,,
,000000010100000000000,39,,,,
,000000010010000000000,20,,,,
,000000010001000000000,15,,,,
,000000010000100000000,11,,,,
,000000010000010000000,13,,,,
,000000010000001000000,3,,,,
,000000010000000100000,2,,,,
,000000010000000010000,4,,,,
,000000001100000000000,38,,,,
,000000001010000000000,28,,,,
,000000001001000000000,25,,,,
,000000001000100000000,20,,,,
,000000001000010000000,14,,,,
,000000001000001000000,9,,,,
,000000001000000100000,3,,,,
,000000001000000010000,3,,,,
,000000001000000000010,1,,,,
,000000000110000000000,42,,,,
,000000000101000000000,33,,,,
,000000000100100000000,24,,,,
,000000000100010000000,17,,,,
,000000000100001000000,10,,,,
,000000000100000100000,7,,,,
,000000000100000010000,5,,,,
,000000000100000001000,1,,,,
,000000000100000000100,1,,,,
,000000000011000000000,35,,,,
,000000000010100000000,28,,,,
,000000000010010000000,26,,,,
,000000000010001000000,16,,,,
,000000000010000100000,11,,,,
,000000000010000010000,3,,,,
,000000000010000001000,6,,,,
,000000000010000000100,2,,,,
,000000000001100000000,37,,,,
,000000000001010000000,25,,,,
,000000000001001000000,15,,,,
,000000000001000100000,10,,,,
,000000000001000010000,9,,,,
,000000000001000001000,10,,,,
,000000000001000000100,4,,,,
,000000000001000000010,4,,,,
,000000000000110000000,36,,,,
,000000000000101000000,31,,,,
,000000000000100100000,19,,,,
,000000000000100010000,12,,,,
,000000000000100001000,8,,,,
,000000000000100000100,6,,,,
,000000000000100000010,1,,,,
,000000000000100000001,2,,,,
,000000000000011000000,41,,,,
,000000000000010100000,23,,,,
,000000000000010010000,17,,,,
,000000000000010001000,15,,,,
,000000000000010000100,11,,,,
,000000000000010000010,2,,,,
,000000000000010000001,2,,,,
,000000000000001100000,38,,,,
,000000000000001010000,16,,,,
,000000000000001001000,18,,,,
,000000000000001000100,13,,,,
,000000000000001000010,10,,,,
,000000000000001000001,8,,,,
,000000000000000110000,41,,,,
,000000000000000101000,31,,,,
,000000000000000100100,28,,,,
,000000000000000100010,7,,,,
,000000000000000100001,9,,,,
,000000000000000011000,50,,,,
,000000000000000010100,38,,,,
,000000000000000010010,23,,,,
,000000000000000010001,16,,,,
,000000000000000001100,48,,,,
,000000000000000001010,26,,,,
,000000000000000001001,30,,,,
,000000000000000000110,25,,,,
,000000000000000000101,21,,,,
,000000000000000000011,41,,,,
