ch,freq,Age
110000000000000000000,39,Adult
101000000000000000000,18,Adult
100100000000000000000,19,Adult
100010000000000000000,8,Adult
100001000000000000000,9,Adult
100000100000000000000,3,Adult
100000001000000000000,2,Adult
100000000100000000000,5,Adult
011000000000000000000,44,Adult
010100000000000000000,24,Adult
010010000000000000000,16,Adult
010001000000000000000,15,Adult
010000100000000000000,16,Adult
010000010000000000000,4,Adult
010000001000000000000,6,Adult
010000000100000000000,1,Adult
010000000010000000000,1,Adult
010000000000010000000,1,Adult
001100000000000000000,32,Adult
001100000000000000000,27,Adult
001010000000000000000,10,Adult
001001000000000000000,11,Adult
001000100000000000000,10,Adult
001000010000000000000,6,Adult
001000001000000000000,3,Adult
001000000100000000000,4,Adult
001000000010000000000,1,Adult
001000000001000000000,1,Adult
000110000000000000000,42,Adult
000101000000000000000,29,Adult
000100100000000000000,24,Adult
000100010000000000000,12,Adult
000100001000000000000,10,Adult
000100000100000000000,6,Adult
000100000010000000000,4,Adult
000100000001000000000,4,Adult
000100000000100000000,4,Adult
000100000000010000000,3,Adult
000011000000000000000,38,Adult
000010100000000000000,31,Adult
000010010000000000000,15,Adult
000010001000000000000,14,Adult
000010000100000000000,11,Adult
000010000010000000000,4,Adult
000010000001000000000,6,Adult
000010000000100000000,5,Adult
000010000000010000000,1,Adult
000001100000000000000,62,Adult
000001010000000000000,29,Adult
000001001000000000000,18,Adult
000001000100000000000,20,Adult
000001000010000000000,15,Adult
000001000001000000000,12,Adult
000001000000100000000,8,Adult
000001000000010000000,4,Adult
000001000000001000000,2,Adult
000001000000000100000,2,Adult
000000110000000000000,47,Adult
000000101000000000000,25,Adult
000000100100000000000,21,Adult
000000100010000000000,20,Adult
000000100001000000000,18,Adult
000000100000100000000,7,Adult
000000100000010000000,3,Adult
000000100000001000000,3,Adult
000000100000000010000,2,Adult
000000011000000000000,32,Adult
000000010100000000000,39,Adult
000000010010000000000,20,Adult
000000010001000000000,15,Adult
000000010000100000000,11,Adult
000000010000010000000,13,Adult
000000010000001000000,3,Adult
000000010000000100000,2,Adult
000000010000000010000,4,Adult
000000001100000000000,38,Adult
000000001010000000000,28,Adult
000000001001000000000,25,Adult
000000001000100000000,20,Adult
000000001000010000000,14,Adult
000000001000001000000,9,Adult
000000001000000100000,3,Adult
000000001000000010000,3,Adult
000000001000000000010,1,Adult
000000000110000000000,42,Adult
000000000101000000000,33,Adult
000000000100100000000,24,Adult
000000000100010000000,17,Adult
000000000100001000000,10,Adult
000000000100000100000,7,Adult
000000000100000010000,5,Adult
000000000100000001000,1,Adult
000000000100000000100,1,Adult
000000000011000000000,35,Adult
000000000010100000000,28,Adult
000000000010010000000,26,Adult
000000000010001000000,16,Adult
000000000010000100000,11,Adult
000000000010000010000,3,Adult
