ch,freq,Age
1100000000000000000000,1,Adult
0000000001010000000000,1,Adult
0000000000100010000000,1,Adult
0000000000100000100000,1,Adult
0000000000011000000000,1,Adult
0000000000010000000100,1,Adult
0000000000001000010000,1,Adult
0000000000001000000100,2,Adult
0000000000000101000000,1,Adult
0000000000000100010000,1,Adult
0000000000000011000000,1,Adult
0000000000000000110000,8,Adult
0000000000000000101000,1,Adult
0000000000000000100001,1,Adult
0000000000000000010100,2,Adult
0000000000000000000011,1,Adult
0100000100000000000000,1,Juv
0000000001000001000000,1,Juv
0000000000000010100000,2,Juv
0000000000001000000001,1,Juv
0000000000000000110000,2,Juv
0000000000000000101000,2,Juv
0000000000000000100001,1,Juv
0000000000000000010100,1,Juv
0000000000000000000011,1,Juv
