ch,freq
0100000100000000000000,1
0000000001000001000000,1
0000000000000010100000,2
0000000000001000000001,1
0000000000000000110000,2
0000000000000000101000,3
0000000000000000100001,2
0000000000000000010100,3
0000000000000000000011,2
1100000000000000000000,1
0000000001010000000000,1
0000000000100010000000,1
0000000000100000100000,1
0000000000011000000000,1
0000000000010000000100,1
0000000000001000010000,1
0000000000001000000100,2
0000000000000101000000,1
0000000000000100010000,1
0000000000000011000000,1
0000000000000000110000,8
1000000000000000000000,18
0100000000000000000000,10
0010000000000000000000,2
0001000000000000000000,3
0000100000000000000000,10
0000010000000000000000,7
0000001000000000000000,10
0000000100000000000000,32
0000000010000000000000,16
0000000001000000000000,84
0000000000100000000000,17
0000000000010000000000,93
0000000000001000000000,71
0000000000000100000000,85
0000000000000010000000,42
0000000000000001000000,34
0000000000000000100000,286
0000000000000000010000,105
0000000000000000001000,13
0000000000000000000100,97
0000000000000000000010,142
