ch,freq
1100000000000000000000,23
1010000000000000000000,17
1001000000000000000000,1
1000100000000000000000,1
1000010000000000000000,4
1000001000000000000000,7
1000000010000000000000,1
1000000001000000000000,1
1000000000100000000000,2
1000000000010000000000,1
1000000000001000000000,2
1000000000000100000000,3
1000000000000001000000,1
1000000000000000100000,1
1000000000000000010000,1
1000000000000000001000,2
1000000000000000000010,2
1000000000000000000001,2
0110000000000000000000,17
0101000000000000000000,7
0100100000000000000000,7
0100010000000000000000,5
0100001000000000000000,6
0100000100000000000000,4
0100000010000000000000,3
0100000001000000000000,1
0100000000100000000000,2
0100000000010000000000,2
0100000000001000000000,4
0100000000000100000000,1
0100000000000000010000,1
0100000000000000001000,1
0100000000000000000100,2
0100000000000000000010,3
0100000000000000000001,4
0011000000000000000000,24
0010100000000000000000,10
0010010000000000000000,4
0010000100000000000000,1
0010000010000000000000,2
0010000001000000000000,1
0010000000001000000000,1
0010000000000010000000,2
0010000000000001000000,2
0010000000000000010000,1
0010000000000000000100,1
0010000000000000000010,1
0010000000000000000001,2
0001100000000000000000,18
0001010000000000000000,15
0001001000000000000000,1
0001000100000000000000,4
0001000010000000000000,4
0001000001000000000000,2
0001000000100000000000,3
0001000000010000000000,4
0001000000001000000000,4
0001000000000100000000,1
0001000000000010000000,2
0001000000000000100000,1
0001000000000000010000,3
0001000000000000000010,2
0001000000000000000001,1
0000110000000000000000,17
0000101000000000000000,6
0000100100000000000000,2
0000100010000000000000,1
0000100001000000000000,3
0000100000100000000000,4
0000100000010000000000,3
0000100000001000000000,4
0000100000000100000000,3
0000100000000001000000,2
0000100000000000100000,1
0000100000000000000100,2
0000100000000000000010,2
0000100000000000000001,5
0000011000000000000000,24
0000010100000000000000,10
0000010010000000000000,5
0000010001000000000000,3
0000010000100000000000,4
0000010000001000000000,3
0000010000000100000000,2
0000010000000010000000,1
0000010000000000100000,2
0000010000000000010000,2
0000010000000000001000,2
0000010000000000000100,2
0000010000000000000010,1
0000010000000000000001,4
0000001100000000000000,15
0000001010000000000000,10
0000001001000000000000,2
0000001000100000000000,4
0000001000010000000000,2
0000001000000100000000,1
0000001000000001000000,1
0000001000000000100000,1
0000001000000000001000,1
0000001000000000000100,1
0000000110000000000000,18
0000000101000000000000,3
0000000100100000000000,7
0000000100010000000000,1
0000000100001000000000,1
0000000100000010000000,1
0000000100000001000000,1
0000000100000000000001,1
0000000011000000000000,10
0000000010100000000000,12
0000000010010000000000,4
0000000010001000000000,4
0000000010000100000000,2
0000000010000010000000,5
0000000010000001000000,2
0000000010000000100000,2
0000000010000000001000,2
0000000010000000000100,2
0000000010000000000010,1
0000000010000000000001,4
0000000001100000000000,14
0000000001010000000000,2
0000000001000100000000,1
0000000001000010000000,1
0000000001000000100000,1
0000000001000000010000,1
0000000001000000001000,1
0000000001000000000100,1
0000000001000000000001,2
0000000000110000000000,18
0000000000101000000000,6
0000000000100100000000,4
0000000000100010000000,7
0000000000100001000000,6
0000000000100000100000,5
0000000000100000010000,3
0000000000100000001000,2
0000000000100000000010,3
0000000000100000000001,6
0000000000011000000000,17
0000000000010100000000,13
0000000000010010000000,4
0000000000010001000000,3
0000000000010000100000,3
0000000000010000010000,2
0000000000010000001000,3
0000000000010000000010,2
0000000000010000000001,2
0000000000001100000000,17
0000000000001010000000,7
0000000000001001000000,6
0000000000001000100000,2
0000000000001000010000,1
0000000000001000001000,2
0000000000001000000100,1
0000000000001000000010,3
0000000000001000000001,2
0000000000000110000000,19
0000000000000101000000,10
0000000000000100100000,2
0000000000000100010000,2
0000000000000100001000,3
0000000000000100000100,2
0000000000000100000010,1
0000000000000100000001,4
0000000000000011000000,8
0000000000000010100000,7
0000000000000010010000,3
0000000000000010001000,5
0000000000000010000100,2
0000000000000010000010,3
0000000000000010000001,6
0000000000000001100000,4
0000000000000001010000,6
0000000000000001001000,4
0000000000000001000100,1
0000000000000001000010,1
0000000000000001000001,6
0000000000000000110000,6
0000000000000000101000,7
0000000000000000100100,3
0000000000000000100010,3
0000000000000000100001,6
0000000000000000011000,5
0000000000000000010100,5
0000000000000000010010,4
0000000000000000010001,4
0000000000000000001100,7
0000000000000000001010,4
0000000000000000001001,3
0000000000000000000110,4
0000000000000000000101,5
0000000000000000000011,12
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
